bus_id1,bus_id2,country1,country2,circuit,underground,in_construction,is_dc,voltage,line_length,r,x,b,fmax
5544,5558,CH,CH,3,false,false,false,380.0,19.844848648,0.555655762144,5.25888489172,0.0,1700.0
5560,5561,CH,CH,2,false,false,false,220.0,7.968020862,0.501985314306,2.86848751032,0.0,490.0
5259,5563,CH,IT,1,false,false,false,380.0,13.629873755,0.38163646514,3.611916545075,0.0,1700.0
5560,5562,CH,CH,2,false,false,false,220.0,13.639755179,0.859304576277,4.91031186444,0.0,490.0
5562,5564,CH,CH,2,false,false,false,220.0,17.561984068,1.1064049962840001,6.32231426448,0.0,490.0
5558,5567,CH,CH,3,false,false,false,380.0,10.701957127,0.299654799556,2.836018638655,0.0,1700.0
5560,5569,CH,CH,1,false,false,false,220.0,7.460879482,0.470035407366,2.68591661352,0.0,490.0
5569,5570,CH,CH,1,false,false,false,220.0,10.565624247,0.665634327561,3.80362472892,0.0,490.0
5541,5571,CH,CH,1,false,false,false,220.0,19.139691129,1.2058005411269999,6.890288806439999,0.0,490.0
5568,5572,CH,CH,1,false,false,false,380.0,31.290888175,0.8761448689,8.292085366375,0.0,1700.0
5570,5575,CH,CH,1,false,false,false,220.0,10.962469227,0.690635561301,3.94648892172,0.0,490.0
5568,5576,CH,CH,1,false,false,false,380.0,17.800343617,0.49840962127599997,4.717091058505,0.0,1700.0
5562,5577,CH,CH,2,false,false,false,220.0,24.489258365999998,1.542823277058,8.816133011759998,0.0,490.0
5566,5578,CH,CH,2,false,false,false,220.0,12.067604793000001,0.760259101959,4.34433772548,0.0,490.0
5567,5579,CH,CH,2,false,false,false,380.0,10.56960088,0.29594882464,2.8009442332,0.0,1700.0
5573,5582,XX,XX,2,false,false,false,380.0,21.307357828,0.596606019184,5.64644982442,0.0,1700.0
5559,5582,CH,CH,2,false,false,false,380.0,12.763483098,0.35737752674400003,3.3823230209700004,0.0,1700.0
5579,5583,CH,CH,2,false,false,false,380.0,13.591745941,0.380568886348,3.601812674365,0.0,1700.0
5585,5586,CH,CH,1,false,false,false,220.0,8.456374605999999,0.5327516001779999,3.0442948581599993,0.0,490.0
5559,5588,CH,CH,2,false,false,false,380.0,15.253431265,0.42709607542,4.042159285225,0.0,1700.0
5500,5588,CH,CH,2,false,false,false,380.0,20.506274101,0.574175674828,5.4341626367649996,0.0,1700.0
5586,5589,CH,CH,2,false,false,false,220.0,12.628896677999998,0.7956204907139999,4.5464028040799995,0.0,490.0
5588,5590,CH,CH,2,false,false,false,380.0,15.000059284,0.420001659952,3.9750157102600006,0.0,1700.0
5583,5590,CH,CH,2,false,false,false,380.0,89.736597754,2.512624737112,23.78019840481,0.0,1700.0
5587,5591,CH,CH,2,false,false,false,220.0,9.162868673999998,0.5772607264619999,3.2986327226399994,0.0,490.0
5590,5592,CH,CH,2,false,false,false,380.0,18.114096798,0.507194710344,4.8002356514699995,0.0,1700.0
5593,5594,CH,CH,1,false,false,false,220.0,12.108616049,0.762842811087,4.35910177764,0.0,490.0
5584,5594,CH,CH,1,false,false,false,220.0,6.16978566,0.38869649658,2.2211228376,0.0,490.0
5583,5597,CH,CH,2,false,false,false,380.0,30.247236782,0.8469226298960001,8.015517747230001,0.0,1700.0
5595,5599,CH,CH,2,false,false,false,220.0,10.934135094,0.688850510922,3.93628863384,0.0,490.0
5557,5600,CH,CH,2,false,false,false,220.0,8.818418271,0.5555603510730001,3.17463057756,0.0,490.0
5599,5601,CH,CH,2,false,false,false,220.0,12.696388464,0.7998724732320001,4.57069984704,0.0,490.0
5598,5601,CH,CH,2,false,false,false,220.0,18.768556562999997,1.1824190634689997,6.756680362679998,0.0,490.0
5601,5603,CH,CH,2,false,false,false,220.0,10.088980516,0.635605772508,3.6320329857599996,0.0,490.0
5602,5605,CH,CH,2,false,false,false,380.0,38.858694952,1.088043458656,10.29755416228,0.0,1700.0
5598,5604,CH,CH,2,false,false,false,220.0,23.029688502000003,1.4508703756260002,8.29068786072,0.0,490.0
5582,5605,CH,CH,2,false,false,false,380.0,54.394413534,1.523043578952,14.414519586510002,0.0,1700.0
5580,5604,CH,CH,2,false,false,false,220.0,26.293506646999997,1.6564909187609997,9.465662392919999,0.0,490.0
5578,5604,CH,CH,2,false,false,false,220.0,22.000523573,1.3860329850989999,7.920188486279999,0.0,490.0
5603,5606,CH,CH,2,false,false,false,220.0,16.873335976,1.063020166488,6.0744009513599995,0.0,490.0
5606,5607,CH,CH,2,false,false,false,220.0,11.367881614,0.716176541682,4.09243738104,0.0,490.0
5605,5610,CH,CH,2,false,false,false,380.0,21.650648881000002,0.606218168668,5.737421953465001,0.0,1700.0
5607,5609,CH,CH,2,false,false,false,220.0,23.07228452,1.45355392476,8.3060224272,0.0,490.0
4295,5610,AT,CH,2,false,false,false,380.0,34.655873966,0.970364471048,9.183806600990001,0.0,1700.0
5608,5610,CH,CH,2,false,false,false,380.0,15.485418756,0.433591725168,4.10363597034,0.0,1700.0
5284,5611,CH,IT,2,false,false,false,380.0,34.999730976,0.979992467328,9.274928708640001,0.0,1700.0
5522,5613,CH,CH,2,false,false,false,220.0,8.513864659000001,0.536373473517,3.0649912772400003,0.0,490.0
5548,5614,CH,CH,2,false,false,false,380.0,9.606004219,0.268968118132,2.5455911180350004,0.0,1700.0
5555,5616,CH,CH,1,false,false,false,220.0,10.550761875000001,0.6646979981250001,3.7982742750000003,0.0,490.0
5549,5616,CH,CH,1,false,false,false,220.0,23.496451542,1.480276447146,8.45872255512,0.0,490.0
5596,5617,CH,CH,2,false,false,false,220.0,5.417827877,0.34132315625099996,1.9504180357199998,0.0,490.0
5600,5617,CH,CH,2,false,false,false,220.0,5.483323749,0.345449396187,1.97399654964,0.0,490.0
5504,5618,CH,CH,2,false,false,false,220.0,11.570770442999999,0.7289585379089999,4.16547735948,0.0,490.0
5570,5620,CH,CH,1,false,false,false,220.0,9.141919859,0.5759409511169999,3.2910911492399997,0.0,490.0
5620,5621,CH,CH,1,false,false,false,220.0,8.255965161,0.520125805143,2.9721474579600002,0.0,490.0
5506,5624,CH,CH,2,false,false,false,220.0,9.109555507,0.573901996941,3.2794399825199996,0.0,490.0
5540,5624,CH,CH,2,false,false,false,220.0,18.130881165999998,1.1422455134579999,6.527117219759999,0.0,490.0
5540,5624,CH,CH,2,false,false,false,220.0,18.157974764,1.143952410132,6.536870915039999,0.0,490.0
5540,5625,CH,CH,2,false,false,false,220.0,14.598250985999998,0.9196898121179999,5.255370354959999,0.0,490.0
5544,5626,CH,CH,2,false,false,false,380.0,26.48066259,0.74145855252,7.017375586350001,0.0,1700.0
5572,5626,CH,CH,2,false,false,false,380.0,27.398728268,0.767164391504,7.26066299102,0.0,1700.0
5577,5627,CH,CH,1,false,false,false,220.0,8.568452476000001,0.539812505988,3.08464289136,0.0,490.0
5574,5627,CH,CH,1,false,false,false,220.0,23.407470352,1.4746706321760001,8.42668932672,0.0,490.0
5255,5628,CH,IT,1,false,false,false,380.0,21.178054596000003,0.5929855286880001,5.612184467940001,0.0,1700.0
5499,5629,XX,XX,2,false,false,false,220.0,48.566551644,3.059692753572,17.48395859184,0.0,490.0
5608,5630,CH,CH,2,false,false,false,380.0,9.046651025,0.25330622869999997,2.397362521625,0.0,1700.0
5588,5749,CH,CH,2,false,false,false,380.0,9.078076502,0.254186142056,2.4056902730300003,0.0,1700.0
5602,5749,CH,CH,2,false,false,false,380.0,97.43364789900001,2.7281421411720004,25.819916693235005,0.0,1700.0
5114,5808,CH,CH,2,false,false,false,220.0,17.643136180000003,1.11151757934,6.3515290248000005,0.0,490.0
5618,5808,CH,CH,2,false,false,false,220.0,25.536756076000003,1.608815632788,9.193232187360001,0.0,490.0
5590,5832,CH,CH,1,false,false,false,380.0,56.856476486,1.591981341608,15.06696626879,0.0,1700.0
5266,5832,CH,IT,1,false,false,false,380.0,39.817432374999996,1.1148881064999998,10.551619579375,0.0,1700.0
5593,5833,CH,CH,2,false,false,false,220.0,8.37444323,0.52758992349,3.0147995628,0.0,490.0
5590,5834,CH,CH,2,false,false,false,380.0,17.464589016999998,0.489008492476,4.628116089504999,0.0,1700.0
5555,5843,CH,CH,2,false,false,false,220.0,8.841826958,0.557035098354,3.18305770488,0.0,490.0
2657,5844,CH,DE,2,false,false,false,380.0,18.768996475,0.5255319013,4.973784065875001,0.0,1700.0
5501,5844,CH,CH,2,false,false,false,380.0,8.554890298,0.239536928344,2.26704592897,0.0,1700.0
5546,5844,CH,CH,2,false,false,false,380.0,21.948208828,0.614549847184,5.81627533942,0.0,1700.0
5602,5844,CH,CH,2,false,false,false,380.0,25.392573529,0.710992058812,6.729031985185,0.0,1700.0
5581,5946,CH,CH,2,false,true,false,380.0,12.323815766,0.345066841448,3.26581117799,0.0,1700.0
5563,6970,XX,XX,2,false,false,false,380.0,29.865021812,0.836220610736,7.91423078018,0.0,1700.0
5627,6975,CH,CH,2,false,false,false,220.0,19.241102239,1.212189441057,6.92679680604,0.0,490.0
6970,6976,XX,XX,2,false,false,false,380.0,29.865021812,0.836220610736,7.91423078018,0.0,1700.0
5550,7253,CH,DE,2,false,false,false,380.0,16.78488813,0.46997686763999996,4.44799535445,0.0,1700.0
2653,7253,XX,XX,2,false,false,false,380.0,38.300150617,1.072404217276,10.149539913505,0.0,1700.0
