bus_id,name,country,long_type,capacity,longitude,latitude,type,category
4020,Gura lalomitei,RO,wind,50.0,27.993164,44.715514,WD,R
6046,Wikinger,DE,wind_cons,288.0,14.018555,54.642055,WD,R
6047,Arkona-Becken Südost,DE,wind_cons,288.0,14.161377,54.572062,WD,R
4433,Ogorje,HR,wind,275.0,16.358643,43.651975,WD,R
3229,Banie,PL,wind,50.0,14.842529,53.061025,WD,R
5947,Korytnica,PL,wind,82.5,21.610107,52.321911,WD,R
3246,Krobia,PL,wind,63.0,16.831055,51.740636,WD,R
3342,Osieki,PL,wind,90.0,17.918701,54.737308,WD,R
6063,Constantin,FR,solar_pv,230.0,-0.659179999999999,44.621754,PV,R
6068,Pezilla-la-Rivière,FR,wind_cons,88.0,2.66967800000001,42.544987,WD,R
6360,Wind Farms,ES,wind,-1.0,-9.03076200000001,42.811522,WD,R
6334,Arrúbal,ES,wind,799.0,-1.96655299999999,42.334184,WD,R
6349,Uninsa,ES,wind,-1.0,-5.60302699999999,43.397065,WD,R
4986,Wind FR 1,FR,wind,17.5,6.679688,49.131408,WD,R
5058,Wind FR 2,FR,wind,19.8,4.76806599999999,49.724479,WD,R
4576,Wind FR 3,FR,wind,171.50500000000002,2.98828099999999,43.22119,WD,R
6977,Wind FR 4,FR,wind,11.5,-1.40625023936826,48.0633965200832,WD,R
4522,Wind FR 5,FR,wind,82.95,-0.483397999999997,46.17983,WD,R
4818,Wind FR 6,FR,wind,59.63,2.49389600000001,48.070738,WD,R
6160,Wind FR 7,FR,wind,0.8,-1.53808599999999,48.092757,WD,R
4804,Wind FR 8,FR,wind,61.9,4.49340799999999,49.802541,WD,R
4802,Wind FR 9,FR,wind,27.65,4.954834,48.799627,WD,R
4988,Wind FR 10,FR,wind,63.06,5.18554700000001,49.510944,WD,R
4814,Wind FR 11,FR,wind,210.4,1.625977,48.188063,WD,R
7538,Wind FR 12,FR,wind,17.700000000000003,1.75781199999999,48.239309,WD,R
4624,Wind FR 13,FR,wind,28.8,2.98828099999999,45.759859,WD,R
4364,Wind FR 14,FR,wind,45.0,5.67993199999999,49.460984,WD,R
4541,Wind FR 15,FR,wind,16.5,0.417480000000009,49.646291,WD,R
4673,Wind FR 16,FR,wind,26.5,4.18579099999999,45.197522,WD,R
7553,Wind FR 17,FR,wind,51.3,2.823486,44.134913,WD,R
6137,Wind FR 18,FR,wind,2.9,-4.27368199999999,48.392738,WD,R
4666,Wind FR 19,FR,wind,16.0,4.87793000000001,44.653024,WD,R
4921,Wind FR 20,FR,wind,508.5000000000001,1.856689,49.781264,WD,R
4883,Wind FR 21,FR,wind,55.155,3.99902300000001,47.864774,WD,R
4880,Wind FR 22,FR,wind,120.05000000000001,3.65844699999999,48.589326,WD,R
4618,Wind FR 23,FR,wind,37.0,1.73584000000001,46.437857,WD,R
4888,Wind FR 24,FR,wind,796.2300000000001,3.86718799999999,48.502048,WD,R
4660,Wind FR 25,FR,wind,6.0,4.79003900000001,44.582643,WD,R
7015,Wind FR 26,FR,wind,29.6,1.40867363234957,46.2085970959993,WD,R
4623,Wind FR 27,FR,wind,1.2,3.02124000000001,45.912944,WD,R
4604,Wind FR 28,FR,wind,21.0,2.614746,44.41024,WD,R
7347,Wind FR 29,FR,wind,32.766000000000005,-1.4048246060893,46.8314748756361,WD,R
4668,Wind FR 30,FR,wind,17.6,4.943848,44.972571,WD,R
4965,Wind FR 31,FR,wind,0.75,3.16406199999999,50.715591,WD,R
4467,Wind FR 32,FR,wind,25.61,2.746582,44.0718,WD,R
4582,Wind FR 33,FR,wind,18.0,3.669434,45.02695,WD,R
4873,Wind FR 34,FR,wind,56.0,3.65844699999999,47.857403,WD,R
4542,Wind FR 35,FR,wind,8.0,0.329590000000012,47.908978,WD,R
4911,Wind FR 36,FR,wind,45.599999999999994,4.22973599999999,49.224773,WD,R
4536,Wind FR 37,FR,wind,11.4,-0.76904300000001,48.070738,WD,R
6586,Wind FR 38,FR,wind,64.69999999999999,-1.74682600000001,47.144897,WD,R
4839,Wind FR 39,FR,wind,10.0,1.230469,49.403825,WD,R
5111,Wind FR 40,FR,wind,185.54999999999998,2.46093799999999,50.176898,WD,R
5950,Wind FR 41,FR,wind,12.0,1.92260700000001,43.882057,WD,R
4570,Wind FR 42,FR,wind,57.370000000000005,2.39502000000001,43.253205,WD,R
5082,Wind FR 43,FR,wind,10.25,1.417236,49.28214,WD,R
4789,Wind FR 44,FR,wind,120.0,5.06469699999999,47.390912,WD,R
4678,Wind FR 45,FR,wind,12.3,3.65844699999999,47.301585,WD,R
6060,Wind FR 46,FR,wind,143.328,0.0439449999999986,45.73686,WD,R
4972,Wind FR 47,FR,wind,22.0,6.17431599999999,47.672786,WD,R
4527,Wind FR 48,FR,wind,26.8,-0.933838000000004,47.279229,WD,R
4667,Wind FR 49,FR,wind,11.5,4.87793000000001,44.887012,WD,R
5100,Wind FR 50,FR,wind,30.1,3.76831100000001,50.148746,WD,R
4579,Wind FR 51,FR,wind,7.2,4.96582000000001,43.500752,WD,R
6162,Wind FR 52,FR,wind,3.3,-1.494141,49.582226,WD,R
4870,Wind FR 53,FR,wind,26.0,3.405762,48.129434,WD,R
5910,Wind FR 54,FR,wind,341.15,5.42724599999999,48.414619,WD,R
7824,Wind FR 55,FR,wind,162.44999999999996,-2.93335000000001,48.465637,WD,R
4935,Wind FR 56,FR,wind,12.0,2.15331999999999,50.993014,WD,R
5110,Wind FR 57,FR,wind,43.2,5.06469699999999,48.253941,WD,R
5858,Wind FR 58,FR,wind,194.599,2.823486,43.723475,WD,R
4966,Wind FR 59,FR,wind,8.0,6.84448199999999,49.131408,WD,R
5092,Wind FR 60,FR,wind,113.91999999999999,-0.582275000000003,46.641894,WD,R
5059,Wind FR 61,FR,wind,8.0,4.504395,49.866317,WD,R
4832,Wind FR 62,FR,wind,13.8,1.625977,49.001844,WD,R
4910,Wind FR 63,FR,wind,429.271,4.416504,48.806863,WD,R
4524,Wind FR 64,FR,wind,7.2,-1.230469,47.062638,WD,R
6973,Wind FR 65,FR,wind,20.0,7.30590800000001,48.268569,WD,R
4903,Wind FR 66,FR,wind,12.0,3.35082999999999,49.346599,WD,R
6142,Wind FR 67,FR,wind,36.9,-3.82324200000001,48.56025,WD,R
5959,Wind FR 68,FR,wind,32.616,-1.230469,49.15297,WD,R
3087,Wind FR 69,FR,wind,2.3,5.89965800000001,49.560852,WD,R
4526,Wind FR 70,FR,wind,77.7,-0.878905999999996,47.062638,WD,R
7790,Wind FR 71,FR,wind,20.43,4.691162,48.705463,WD,R
5949,Wind FR 72,FR,wind,10.0,6.679688,47.457809,WD,R
4916,Wind FR 73,FR,wind,231.197,1.593018,50.04303,WD,R
4677,Wind FR 74,FR,wind,12.0,4.13085900000001,46.573967,WD,R
4639,Wind FR 75,FR,wind,11.5,4.36157199999999,44.535675,WD,R
4944,Wind FR 76,FR,wind,335.73999999999995,3.39477499999999,50.071244,WD,R
4783,Wind FR 77,FR,wind,18.0,5.95458999999999,46.777493,WD,R
4596,Wind FR 78,FR,wind,103.30999999999999,2.94433599999999,43.588349,WD,R
7709,Wind FR 79,FR,wind,70.0,1.80175799999999,48.261256,WD,R
4585,Wind FR 80,FR,wind,20.8,2.14233400000001,43.98491,WD,R
4580,Wind FR 81,FR,wind,31.25,4.822998,43.436966,WD,R
5096,Wind FR 82,FR,wind,18.0,1.79077100000001,47.279229,WD,R
4980,Wind FR 83,FR,wind,19.8,6.38305700000001,48.180739,WD,R
5103,Wind FR 84,FR,wind,186.33399999999997,1.93359399999999,48.246626,WD,R
6077,Wind FR 85,FR,wind,6.0,-0.78002899999999,47.435519,WD,R
4902,Wind FR 86,FR,wind,227.1,2.823486,49.696062,WD,R
4808,Wind FR 87,FR,wind,10.0,1.74682600000001,47.680183,WD,R
4626,Wind FR 88,FR,wind,20.799999999999997,3.19702100000001,45.514046,WD,R
5031,Wind FR 89,FR,wind,413.875,4.416504,49.482401,WD,R
