bus_id1,bus_id2,voltage1,voltage2,is_transformer,r,x,fmax
2508,2510,132.0,380.0,true,2.0,55.0,1000.0
3030,3031,132.0,220.0,true,2.0,55.0,1000.0
5578,5579,220.0,380.0,true,2.0,55.0,1000.0
5587,5588,220.0,380.0,true,2.0,55.0,1000.0
1723,1724,220.0,380.0,true,2.0,55.0,1000.0
4885,4886,220.0,380.0,true,2.0,55.0,1000.0
3273,3274,220.0,380.0,true,2.0,55.0,1000.0
2952,2953,220.0,380.0,true,2.0,55.0,1000.0
5843,5844,220.0,380.0,true,2.0,55.0,1000.0
5468,5469,220.0,380.0,true,2.0,55.0,1000.0
4419,4420,132.0,220.0,true,2.0,55.0,1000.0
4704,4705,220.0,380.0,true,2.0,55.0,1000.0
5121,5122,220.0,380.0,true,2.0,55.0,1000.0
5235,5236,220.0,380.0,true,2.0,55.0,1000.0
2621,2622,220.0,380.0,true,2.0,55.0,1000.0
250,251,220.0,380.0,true,2.0,55.0,1000.0
2482,2483,132.0,380.0,true,2.0,55.0,1000.0
5432,5433,220.0,380.0,true,2.0,55.0,1000.0
1597,1598,220.0,380.0,true,2.0,55.0,1000.0
4862,4863,220.0,380.0,true,2.0,55.0,1000.0
5001,5002,220.0,380.0,true,2.0,55.0,1000.0
2441,2442,132.0,380.0,true,2.0,55.0,1000.0
5301,5302,220.0,380.0,true,2.0,55.0,1000.0
2432,2433,220.0,380.0,true,2.0,55.0,1000.0
2446,2447,132.0,380.0,true,2.0,55.0,1000.0
2736,2737,220.0,380.0,true,2.0,55.0,1000.0
5861,5862,220.0,380.0,true,2.0,55.0,1000.0
1571,1572,220.0,380.0,true,2.0,55.0,1000.0
4764,4765,220.0,380.0,true,2.0,55.0,1000.0
247,248,220.0,380.0,true,2.0,55.0,1000.0
4470,4471,220.0,380.0,true,2.0,55.0,1000.0
5267,5268,220.0,380.0,true,2.0,55.0,1000.0
3684,3685,220.0,380.0,true,2.0,55.0,1000.0
4391,4393,132.0,380.0,true,2.0,55.0,1000.0
2689,2690,220.0,380.0,true,2.0,55.0,1000.0
1808,1809,220.0,380.0,true,2.0,55.0,1000.0
5183,5184,220.0,380.0,true,2.0,55.0,1000.0
3994,3995,220.0,380.0,true,2.0,55.0,1000.0
