id,name,country,voltage,is_substation,longitude,latitude,type,population
6940,Unnamed 403,FR,380.0,false,-0.252345379204605,45.0575101526995,PQ,85200.95881073174
4969,Vincey,FR,380.0,true,6.273193,48.319734,PQ,60422.04382701842
4970,Neuves-Maisons,FR,380.0,true,6.108398,48.589326,PV,51324.378105975906
4971,Rolampont,FR,220.0,true,5.36132800000001,47.938427,PQ,17048.861904978923
4972,Pusy,FR,220.0,true,6.17431599999999,47.672786,PV,32383.652030889272
4973,Houdreville,FR,380.0,true,6.064453,48.480204,PQ,57789.51901949614
4974,Bezaumont,FR,220.0,true,6.08642599999999,48.821333,PV,34135.67353924881
4975,Bezaumont,FR,380.0,true,6.08642599999999,48.821333,PQ,68271.34705574052
4977,Vandières,FR,220.0,true,5.965576,48.91528,PQ,38173.65962554548
4978,Laneuveville,FR,220.0,true,6.240234,48.640169,PQ,24415.57800724728
4979,La Maxe,FR,220.0,true,6.185303,49.037868,PQ,45502.701382175044
4980,Jeuxey,FR,220.0,true,6.38305700000001,48.180739,PQ,20360.385016577457
4981,St. Nabord,FR,220.0,true,6.64672900000001,48.070738,PV,24867.137347183107
4982,Etupes,FR,220.0,true,6.756592,47.52462,PQ,34116.070064079504
4983,Argiesans,FR,220.0,true,6.756592,47.635784,PQ,41472.759151316655
4984,Vigy,FR,220.0,true,6.25122100000001,49.181703,PQ,35553.07851929577
4985,Vigy,FR,380.0,true,6.25122100000001,49.181703,PQ,71106.15701488948
4986,St. Avold,FR,220.0,true,6.679688,49.131408,PQ,30900.57553664869
4987,St. Avold,FR,380.0,true,6.679688,49.131408,PV,61801.15105269699
4988,Stenay,FR,220.0,true,5.18554700000001,49.510944,PQ,18855.874981036875
4989,Landres,FR,220.0,true,5.789795,49.28214,PQ,34958.797767507654
4990,Moulaine,FR,220.0,true,5.84472700000001,49.37522,PQ,33555.062615793955
4991,Moulaine,FR,380.0,true,5.84472700000001,49.37522,PQ,67110.12520921785
4992,Cattenom,FR,380.0,true,6.25122100000001,49.403825,PV,66937.66233267797
4993,Basse-Ham,FR,220.0,true,6.097412,49.267805,PQ,33456.861679828464
4994,Richemont,FR,220.0,true,6.20727500000001,49.360912,PQ,33513.33117750145
4996,Rhinau,FR,220.0,true,7.59155299999999,48.261256,PV,40709.606505375305
4997,Guebwiller,FR,220.0,true,7.19604499999999,47.923705,PQ,35603.92484941638
4998,Lutterbach,FR,220.0,true,7.18505899999999,47.761484,PQ,39221.82761898062
4999,La Thur,FR,220.0,true,7.05322299999999,47.798397,PQ,43300.41371276869
5000,Ile Napoléon,FR,220.0,true,7.31689499999999,47.776252,PQ,35042.14300119012
5001,Sierentz,FR,220.0,true,7.41577099999999,47.643186,PV,32244.459276509446
5002,Sierentz,FR,380.0,true,7.41577099999999,47.643186,PQ,64488.91853152258
5003,Ottmarsheim,FR,220.0,true,7.44873000000001,47.791016,PV,26896.402302716946
5004,Logelbach,FR,220.0,true,7.23998999999999,48.056054,PQ,30168.062201676832
5005,Logelbach,FR,380.0,true,7.23998999999999,48.056054,PQ,60336.124383241644
5006,Anould,FR,220.0,true,6.95434600000001,48.173412,PQ,26867.12613602845
5007,Marckolsheim,FR,220.0,true,7.514648,48.144098,PV,31119.773060667965
5008,Vogelgrun,FR,220.0,true,7.470703,48.041365,PV,27264.737285424424
5009,Marlenheim,FR,220.0,true,7.470703,48.582058,PQ,47332.12235068923
5010,Marlenheim,FR,380.0,true,7.470703,48.582058,PQ,94664.24466982367
5011,Herrenwasser,FR,220.0,true,7.66845700000001,48.589326,PQ,46575.07559179993
5012,Graffenstaden,FR,220.0,true,7.63549799999999,48.502048,PQ,46349.56926078161
5013,Gertsheim,FR,220.0,true,7.66845700000001,48.385442,PV,45306.16042938904
5014,Reichstett,FR,220.0,true,7.65747100000001,48.654686,PQ,48153.55869219598
5015,Strasbourg,FR,220.0,true,7.75634799999999,48.552978,PV,45276.54644924614
5016,Sporeinsel,FR,220.0,true,7.75634799999999,48.640169,PQ,47239.9989214798
5017,Gambsheim,FR,220.0,true,7.822266,48.676454,PV,45883.67389578554
5018,Sarreguemines,FR,220.0,true,7.03125,49.05947,PQ,17982.08124892749
5019,Batzendorf,FR,220.0,true,7.66845700000001,48.79239,PQ,47670.08304048967
5020,Seltz,FR,220.0,true,7.84423800000001,48.835797,PQ,44574.37485279213
5023,Gauglin,FR,380.0,true,2.966309,47.517201,PQ,24323.013671087156
5024,Vallorcine,FR,220.0,true,6.83349599999999,46.065608,PV,24198.42410569586
5025,Peyrat,FR,220.0,true,1.94458,45.752193,PV,24397.53333599027
5026,Valdivienne,FR,220.0,true,0.823974999999992,46.362093,PQ,20574.961306721383
5027,Valdivienne,FR,380.0,true,0.823974999999992,46.362093,PQ,41149.92259972612
5028,Lac Noir,FR,220.0,true,7.10815399999999,48.114767,PQ,33596.57875121295
5029,Vittel,FR,220.0,true,5.921631,48.173412,PQ,14343.311393940405
5030,Pertain,FR,220.0,true,2.76855499999999,49.767074,PQ,35408.83052124176
5031,Seuil,FR,380.0,true,4.416504,49.482401,PQ,44726.19596808449
5032,Custines,FR,220.0,true,6.097412,48.669199,PV,25557.471154421983
5033,La Voulzie,FR,220.0,true,3.043213,48.451066,PQ,30826.865814835754
5034,Ugine,FR,220.0,true,6.38305700000001,45.874712,PQ,34118.76668998295
5035,Agasses,FR,220.0,true,4.603271,43.850374,PQ,48081.10503834615
5036,Agasses,FR,380.0,true,4.603271,43.850374,PQ,96162.21004463818
5037,Vertou,FR,220.0,true,-1.35131799999999,47.249407,PQ,53888.68208982193
5038,Chinon B,FR,220.0,true,0.252685999999995,47.338823,PQ,48205.11494462601
5039,Chinon B,FR,380.0,true,0.252685999999995,47.338823,PV,96410.22985711531
5040,Caen,FR,220.0,true,-0.318604000000007,49.167339,PV,53893.69882489538
5041,Thiot,FR,220.0,true,0.0329589999999936,48.777913,PV,30225.783494240688
5042,Ratier,FR,220.0,true,0.373535000000011,49.475263,PV,35469.615554128904
5043,Sandouville,FR,220.0,true,0.472411999999992,49.539469,PQ,47001.99581804535
5044,Sandouville,FR,380.0,true,0.472411999999992,49.539469,PQ,94003.99160475594
5045,Penly Centrale,FR,380.0,true,1.274414,50.000678,PQ,27249.69508116753
5046,Amargue,FR,220.0,true,2.40600600000001,49.703168,PQ,36758.85231383992
5047,Etinchelle,FR,220.0,true,3.07617199999999,50.240179,PQ,87209.39288752347
5048,Sausset,FR,220.0,true,2.54882799999999,48.922499,PQ,219158.27396077322
5049,Sausset,FR,380.0,true,2.54882799999999,48.922499,PQ,438316.54777544044
6941,Unnamed 404,FR,220.0,false,-1.40756295604686,47.1798237787675,PQ,54782.809470563065
6942,Unnamed 405,FR,220.0,false,5.00938710063492,44.024297129204,PQ,36645.479772078426
5050,Maubeuge,FR,220.0,true,3.86718799999999,50.303376,PV,35776.6950317537
5051,Rupreux,FR,220.0,true,3.46069300000001,49.396675,PV,32795.752124925966
5052,Les loges,FR,220.0,true,2.384033,48.57479,PQ,200250.50103208184
5053,Villechetive,FR,380.0,true,3.72436500000001,48.085419,PQ,45870.3731397769
5054,Belleville,FR,380.0,true,3.19702100000001,47.554287,PV,27989.55912192624
5056,Dettwiller,FR,220.0,true,7.45971699999999,48.900838,PQ,49919.78260356303
5057,Mohon,FR,220.0,true,4.70214800000001,49.781264,PQ,12839.099113478973
5058,Les Ayvelles,FR,220.0,true,4.76806599999999,49.724479,PQ,12037.779260387873
5059,Mazures,FR,220.0,true,4.504395,49.866317,PQ,13457.829879383307
5060,Mazures,FR,380.0,true,4.504395,49.866317,PQ,26915.659749794726
5061,Montcroisette,FR,220.0,true,2.60376,50.331436,PQ,65254.803464082266
5062,Beuvry,FR,220.0,true,2.735596,50.527397,PQ,87938.22169929216
5063,Florensac,FR,220.0,true,3.54858400000001,43.365126,PQ,75989.8524683775
5064,Brommat,FR,380.0,true,2.72460899999999,44.746733,PV,25179.555654009782
5065,Montezic poste et centrale,FR,380.0,true,2.823486,44.762337,PV,22184.517559527496
5066,Sanssac,FR,220.0,true,3.92211899999999,45.104546,PQ,28983.156250348293
5067,Valence,FR,220.0,true,4.943848,44.785734,PQ,32716.593629950865
5068,Chambrillan,FR,220.0,true,4.96582000000001,44.699898,PV,33069.81543542638
5069,Genissiat,FR,220.0,true,5.789795,46.065608,PV,35436.590990088866
5070,Genissiat,FR,380.0,true,5.789795,46.065608,PQ,70873.18195655335
5071,C.E.R.N.,FR,380.0,true,5.89965800000001,46.316584,PQ,72647.4410253887
5072,Eybens,FR,220.0,true,5.76782200000001,45.166547,PQ,36542.16028259761
5073,Trans,FR,220.0,true,6.51489300000001,43.460894,PQ,48601.371164076925
5074,Trans,FR,380.0,true,6.51489300000001,43.460894,PQ,97202.74229575295
5075,Fréjus,FR,220.0,true,6.70165999999999,43.444943,PQ,48485.14890242819
5076,Biançon,FR,220.0,true,6.69067400000001,43.612217,PQ,72831.5400576436
6943,Unnamed 406,XX,220.0,false,4.5540337822753,46.5424263531589,PQ,0.0
5077,Biançon,FR,380.0,true,6.69067400000001,43.612217,PQ,145663.08006673283
5078,Muhlbach,FR,220.0,true,7.39379900000001,47.894248,PQ,28863.53336302231
5079,Muhlbach,FR,380.0,true,7.39379900000001,47.894248,PQ,57727.06670680226
5080,Volvon,FR,220.0,true,4.284668,45.452424,PV,46527.35939265216
5081,Bouscat,FR,220.0,true,-0.527343999999999,44.785734,PQ,50805.96144143739
5082,La Marette,FR,220.0,true,1.417236,49.28214,PQ,38701.19305154285
5083,Trois Domaines,FR,220.0,true,5.174561,48.980217,PQ,13743.265392807645
5084,Cailloux / Fontaines,FR,220.0,true,4.87793000000001,45.805829,PQ,78109.28497951275
5085,Cuperly,FR,220.0,true,4.47143600000001,49.138597,PQ,24018.685682353334
5086,Peyrou,FR,220.0,true,3.92211899999999,43.644026,PV,66258.12729017167
5087,Saumade,FR,220.0,true,3.98803700000001,43.691708,PQ,69788.69148986194
5088,Penchard,FR,380.0,true,2.834473,49.001844,PQ,341669.2268796855
5089,Vezilly,FR,220.0,true,3.72436500000001,49.15297,PQ,27460.591948190813
5090,Rele,FR,220.0,true,6.04247999999999,49.023461,PQ,44700.820851539094
5091,Hirsingue,FR,220.0,true,7.19604499999999,47.591346,PQ,34095.796765336956
5092,Val de sevre,FR,220.0,true,-0.582275000000003,46.641894,PV,37238.952764016125
5093,Comps,FR,220.0,true,2.71362300000001,45.966425,PV,69058.85122173691
5094,Montagny- Les-Lanche,FR,380.0,true,6.13037099999999,45.782848,PQ,65873.92417536577
5095,Suisse,FR,220.0,true,6.48193399999999,48.806863,PQ,34166.98581554872
5096,Terres-Noires,FR,220.0,true,1.79077100000001,47.279229,PQ,37325.73824030446
5097,Yvelines- Ouest,FR,220.0,true,1.86767600000001,48.741701,PQ,196288.62747547208
5098,Yvelines- Ouest,FR,380.0,true,1.86767600000001,48.741701,PQ,392577.2548200851
5099,Le Long- Champ,FR,220.0,true,3.537598,49.310799,PQ,30856.112232602343
5100,Aulnoye,FR,220.0,true,3.76831100000001,50.148746,PQ,42202.204182562746
5101,Favary,FR,220.0,true,5.77880899999999,43.508721,PQ,160088.95408775145
5102,Salles Curan,FR,220.0,true,2.746582,44.142798,PQ,19633.539979026555
5103,Les Espiers,FR,220.0,true,1.93359399999999,48.246626,PQ,36504.509857676814
5104,Estreux,FR,220.0,true,3.74633799999999,50.268277,PQ,41359.52441886683
5105,Saumaty,FR,220.0,true,5.394287,43.34915,PQ,155840.98943375418
5106,Fessenheim,FR,220.0,true,7.50366199999999,47.894248,PQ,24126.84712331616
5107,Brailly-Cornehotte,FR,220.0,true,1.96655299999999,50.310392,PQ,23520.486459789812
5108,Berge,FR,220.0,true,-0.681152000000009,43.842451,PQ,22165.22617963122
5109,Grezillac,FR,220.0,true,-0.0549320000000076,44.692088,PQ,69769.37067105234
5110,Froncles,FR,220.0,true,5.06469699999999,48.253941,PV,15707.821075158083
5111,Avesnes le-Comte,FR,220.0,true,2.46093799999999,50.176898,PQ,49165.429774255324
5112,Plan d''Orgon,FR,220.0,true,5.09765600000001,43.858297,PQ,42665.24574894011
5113,S. Bissorte,FR,380.0,true,6.64672900000001,45.135555,PV,8574.425815582814
5114,Foretaille,CH,220.0,true,6.097412,46.240652,PV,59686.51017360342
5115,Verbois,CH,220.0,true,6.020508,46.172223,PQ,56365.51188105778
5116,Verbois,CH,380.0,true,6.020508,46.172223,PQ,112731.0237245385
5117,Pont-La-Ville,FR,220.0,true,4.88891599999999,48.092757,PV,13765.295729452251
5118,Oroszlány,HU,220.0,false,18.391113,47.480088,PV,205310.45571336927
5119,Dunamenti,HU,220.0,false,18.874512,47.353711,PV,344315.116116759
5120,Mátra,HU,220.0,false,20.061035,47.908978,PV,124590.5833399027
5121,Tisza II,HU,220.0,false,21.324463,48.092757,PV,81705.69663692344
5122,Tisza II,HU,380.0,false,21.324463,48.092757,PV,163411.3932193765
5123,Hévíz,HU,380.0,true,17.171631,46.777493,PV,261072.16666666666
5124,Győr,HU,220.0,true,17.786865,47.650588,PQ,51024.50163732021
5125,Győr,HU,380.0,true,17.786865,47.650588,PQ,102049.00324062406
5126,Toponár,HU,380.0,true,17.896729,46.407564,PQ,228256.66666666666
5127,Göd,HU,220.0,true,19.248047,47.746711,PQ,341522.65546240326
5128,Göd,HU,380.0,true,19.248047,47.746711,PQ,683045.3106971247
5129,Litér,HU,380.0,true,18.116455,47.077604,PV,201051.31684827793
5130,Albertfalva,HU,220.0,true,18.896484,47.487513,PV,345626.7189656569
5131,Albertirsa,HU,380.0,true,19.720459,47.212106,PQ,243152.57106556167
5132,Albertirsa,HU,750.0,true,19.720459,47.212106,PQ,8.066352366163276e-5
5133,Dunaújváros,HU,220.0,true,18.951416,46.935261,PV,83884.19689695252
5134,Sándorfalva,HU,380.0,true,20.170898,46.301406,PQ,330239.43325293344
5135,Szolnok,HU,220.0,true,20.291748,47.182246,PQ,122435.2773959842
5136,Szolnok,HU,380.0,true,20.291748,47.182246,PQ,195172.55472691084
5137,Detk,HU,220.0,true,20.159912,47.805776,PQ,125240.52475418107
5138,Békéscsaba,HU,380.0,true,21.148682,46.649436,PQ,298624.6999981641
5139,Felsőzsolca,HU,380.0,true,20.895996,48.107431,PQ,136778.54041400994
5140,Tiszalök,HU,220.0,true,21.500244,48.122101,PQ,102044.36254017356
5141,Debrecen,HU,220.0,true,21.708984,47.502359,PV,179391.7402645945
5142,Paks,HU,380.0,false,18.797607,46.55886,PV,298106.46189747285
5143,Szeged,HU,132.0,true,20.214844,46.202646,PQ,8.135364439052661e-5
5144,Szeged,HU,220.0,true,20.214844,46.202646,PQ,122030.46666714354
