bus_id1,bus_id2,country1,country2,circuit,underground,in_construction,is_dc,voltage,line_length,r,x,b,fmax
157,159,IT,IT,1,false,false,false,380.0,46.679935566,1.307038195848,12.37018292499,0.0,1700.0
159,160,IT,IT,1,false,false,false,380.0,25.828518091000003,0.7231985065480001,6.844557294115001,0.0,1700.0
157,163,IT,IT,1,false,false,false,380.0,27.714564009999997,0.7760077922799999,7.344359462649999,0.0,1700.0
163,164,IT,IT,1,false,false,false,380.0,10.69884946,0.29956778488,2.8351951069,0.0,1700.0
162,164,IT,IT,1,false,false,false,380.0,30.206105278,0.845770947784,8.00461789867,0.0,1700.0
157,165,IT,IT,1,false,false,false,380.0,62.283216081,1.743930050268,16.505052261465,0.0,1700.0
156,166,IT,IT,1,false,false,false,220.0,47.059649614,2.964757925682,16.94147386104,0.0,490.0
163,167,IT,IT,1,false,false,false,380.0,119.713338213,3.3519734699640003,31.724034626445,0.0,1700.0
167,168,IT,IT,1,false,false,false,380.0,29.161781062,0.816529869736,7.72787198143,0.0,1700.0
155,168,IT,IT,1,false,false,false,380.0,45.677552751,1.278971477028,12.104551479015,0.0,1700.0
157,168,IT,IT,1,false,false,false,380.0,89.288510713,2.5000782999639997,23.661455338945,0.0,1700.0
165,168,IT,IT,1,false,false,false,380.0,40.415152461999995,1.1316242689359999,10.710015402429999,0.0,1700.0
145,168,IT,IT,1,false,false,false,380.0,31.76063877,0.88929788556,8.41656927405,0.0,1700.0
166,169,IT,IT,1,false,false,false,220.0,23.398606546,1.474112212398,8.42349835656,0.0,490.0
156,169,IT,IT,1,false,false,false,220.0,66.180039165,4.1693424673949995,23.824814099399998,0.0,490.0
173,175,IT,IT,2,false,false,false,220.0,25.187938806,1.5868401447779998,9.067657970159999,0.0,490.0
172,177,IT,IT,2,false,false,false,220.0,47.823501721,3.012880608423,17.21646061956,0.0,490.0
171,177,IT,IT,4,false,false,false,220.0,9.081981592,0.572164840296,3.2695133731199997,0.0,490.0
176,177,IT,IT,2,false,false,false,220.0,10.519280225000001,0.6627146541750001,3.786940881,0.0,490.0
175,177,IT,IT,2,false,false,false,220.0,66.675227057,4.2005393045910004,24.00308174052,0.0,490.0
